
73cfd82b8,Jeremy Rose,Mon Jun 21 18:41:01 2021,"2970677: Devirtualize WidgetDelegate::DeleteDelegate()",   2, 15, 13 
2c62d3c9c,Jeremy Rose,Mon Jun 21 18:25:32 2021,"some blink stuff moved to display",   3, 4, 4 
c4e3a7eb1,Jeremy Rose,Mon Jun 21 18:25:10 2021,"2972694: Rename GlobalFrameRoutingId to GlobalRenderFrameHostId.",   1, 2, 2 
746d71677,Jeremy Rose,Mon Jun 21 18:24:47 2021,"fix patches",   36, 163, 198 
afe48522b,Jeremy Rose,Mon Jun 21 18:24:37 2021,"bump to 93.0.4549.0",   1, 1, 1 
02acc6240,Electron Bot,Mon Jun 21 17:36:11 2021,"Bump v11.4.9",   3, 6, 6 
088bc334f,Electron Bot,Mon Jun 21 17:04:07 2021,"Bump v12.0.12",   3, 6, 6 
6504c4bbc,Electron Bot,Mon Jun 21 17:03:02 2021,"Bump v13.1.3",   3, 6, 6 
41c265d1b,Jeremy Rose,Mon Jun 21 15:59:31 2021,"more robust json collection from gpuinfo app",   2, 3, 2 
35cccc048,PatchUp,Mon Jun 21 15:01:16 2021,"chore: update patches",   1, 4, 5 
14ec96115,PatchUp,Mon Jun 21 15:00:08 2021,"chore: update patches",   1, 4, 5 
281693e86,Pedro Pontes,Mon Jun 21 14:49:03 2021,"chore: cherry-pick b77b38a3380c from chromium",   2, 40 
2145a5633,Pedro Pontes,Mon Jun 21 14:48:31 2021,"chore: cherry-pick b77b38a3380c from chromium",   2, 40 
82e5df1c4,Shelley Vohr,Mon Jun 21 14:23:24 2021,"fix: properly order out child windows",   1, 9 
44cbc42e4,Shelley Vohr,Mon Jun 21 10:19:19 2021,"fix: child window alwaysOnTop level",   1, 6, 1 
0fe50bb64,Electron Bot,Mon Jun 21 13:31:02 2021,"Bump v14.0.0-beta.8",   3, 4, 4 
4d9b4cbd9,PatchUp,Mon Jun 21 13:22:30 2021,"chore: update patches",   1, 15, 16 
7c01a49d9,PatchUp,Mon Jun 21 13:21:29 2021,"chore: update patches",   1, 13, 14 
0e4df1b6d,Pedro Pontes,Mon Jun 21 13:11:02 2021,"chore: cherry-pick 910e9e40d376 from chromium",   2, 206 
a89fd9f3d,Pedro Pontes,Mon Jun 21 13:10:36 2021,"chore: cherry-pick 910e9e40d376 from chromium",   2, 206 
c539faa1d,PatchUp,Mon Jun 21 13:04:39 2021,"chore: update patches",   1, 20, 21 
6971da2b2,PatchUp,Mon Jun 21 13:04:06 2021,"chore: update patches",   1, 20, 21 
0e465f188,Electron Bot,Mon Jun 21 13:01:31 2021,"Bump v15.0.0-nightly.20210621",   3, 4, 4 
cdf4b305b,Pedro Pontes,Mon Jun 21 12:52:35 2021,"chore: cherry-pick d9556a80a790 from chromium",   2, 199 
3b2f6f5a9,Pedro Pontes,Mon Jun 21 12:52:02 2021,"chore: cherry-pick d9556a80a790 from chromium",   2, 199 
8836c814b,trop[bot],Mon Jun 21 12:20:27 2021,"fix: do not cancel CORS preflight request on proxy auth. (#29810)",   1, 16, 3 
5c1e1ee5e,trop[bot],Mon Jun 21 12:20:05 2021,"fix: do not cancel CORS preflight request on proxy auth. (#29811)",   1, 16, 3 
c14cb6a33,PatchUp,Mon Jun 21 11:39:49 2021,"chore: update patches",   1, 5, 5 
f0d5e54c9,PatchUp,Mon Jun 21 11:38:37 2021,"chore: update patches",   1, 5, 5 
541af3825,Pedro Pontes,Mon Jun 21 11:27:51 2021,"chore: cherry-pick fd8cbdf7b888 from v8",   2, 63 
56cf219f3,Pedro Pontes,Mon Jun 21 11:26:45 2021,"chore: cherry-pick b9ad6a864c79 from v8",   2, 63 
5b6e11704,Pedro Pontes,Mon Jun 21 10:08:10 2021,"chore: cherry-pick 34d5af37f9ac from chromium (#29776)",   2, 102 
8117de4f3,Pedro Pontes,Mon Jun 21 10:07:29 2021,"chore: cherry-pick 0e36d324d6ef from chromium (#29777)",   2, 102 
845716019,trop[bot],Mon Jun 21 10:06:50 2021,"fix: microtasks policy in CreateEnvironment (#29807)",   3, 49, 3 
e203029c4,trop[bot],Mon Jun 21 10:06:24 2021,"fix: update Squirel.Mac to fix CPU spin during update (#29806)",   3, 4, 4 
f39ac0764,trop[bot],Mon Jun 21 10:06:06 2021,"fix: update Squirel.Mac to fix CPU spin during update (#29805)",   3, 4, 4 
19cbb030d,trop[bot],Mon Jun 21 10:05:41 2021,"fix: do not cancel CORS preflight request on proxy auth. (#29812)",   1, 16, 3 
19c581c1d,Electron Bot,Mon Jun 21 06:54:46 2021,"Merge branch '11-x-y' into cherry-pick/11-x-y/v8/9da8fb7c4b80", 
8dc67102e,Pedro Pontes,Mon Jun 21 06:54:23 2021,"fix: cherry-pick 951a47c530 from v8 (#29780)",   2, 300 
3c5efd46f,Electron Bot,Mon Jun 21 06:54:07 2021,"Merge branch '12-x-y' into cherry-pick/12-x-y/v8/d0aadee1a60a", 
308470c98,Pedro Pontes,Mon Jun 21 06:53:37 2021,"fix: cherry-pick 9a9c936879 from v8 (#29779)",   2, 300 
41069568e,Pedro Pontes,Mon Jun 21 06:52:05 2021,"chore: cherry-pick 1856470e25 and 9037876f53 from chromium (#29787)",   3, 219 
9a8ebbb47,Pedro Pontes,Mon Jun 21 06:51:40 2021,"chore: cherry-pick b7a1f498f1 and fad297a48a from chromium (#29786)",   3, 219 
12f835858,trop[bot],Mon Jun 21 06:49:36 2021,"fix: microtasks policy in CreateEnvironment (#29809)",   3, 49, 3 
252805ddb,trop[bot],Mon Jun 21 06:49:17 2021,"fix: microtasks policy in CreateEnvironment (#29808)",   3, 49, 3 
507cbdc80,marekharanczyk,Mon Jun 21 05:06:52 2021,"fix: do not cancel CORS preflight request on proxy auth. (#29266)",   1, 15, 3 
d4a1b4112,Fedor Indutny,Mon Jun 21 05:06:17 2021,"fix: microtasks policy in CreateEnvironment (#29531)",   3, 49, 3 
cfc846a33,Darshan Sen,Mon Jun 21 05:05:28 2021,"fix: relax app.getLocaleCountryCode() test (#29679)",   1, 3, 6 
e7ae6edbd,Samuel Attard,Mon Jun 21 05:02:20 2021,"fix: update Squirel.Mac to fix CPU spin during update (#29791)",   3, 4, 4 
df27597c0,trop[bot],Mon Jun 21 05:00:25 2021,"docs: fix frontmatter for Tray tutorial (#29803)",   1, 1, 1 
6d39c35de,trop[bot],Mon Jun 21 05:00:11 2021,"fix: flakey extension bg page test (#29802)",   1, 3, 6 
879b32840,trop[bot],Mon Jun 21 04:59:51 2021,"fix: fix hover state not clear bug when BrowserWindow is not resizable (#611) (#29801)",   1, 7 
fa683ef8b,trop[bot],Mon Jun 21 04:59:36 2021,"fix: fix hover state not clear bug when BrowserWindow is not resizable (#611) (#29800)",   1, 7 
c90f41d0c,trop[bot],Mon Jun 21 04:59:14 2021,"fix: fix hover state not clear bug when BrowserWindow is not resizable (#611) (#29799)",   1, 7 
8844034fa,David Sanders,Mon Jun 21 01:52:28 2021,"chore: tune-up electron::api::NetLog (#29534)",   2, 16, 5 
aca14bf7d,Erick Zhao,Mon Jun 21 01:13:39 2021,"docs: fix frontmatter for Tray tutorial (#29788)",   1, 1, 1 
ef2ce9dd6,Samuel Maddock,Mon Jun 21 01:11:40 2021,"fix: flakey extension bg page test (#29744)",   1, 3, 6 
e54667e17,sssooonnnggg,Mon Jun 21 01:10:40 2021,"fix: fix hover state not clear bug when BrowserWindow is not resizable (#611) (#29721)",   1, 7 
5b2a6f6a2,trop[bot],Mon Jun 21 01:10:11 2021,"docs: clarify use of ELECTRON_SKIP_BINARY_DOWNLOAD (#29746)",   1, 12, 8 
16b09a676,trop[bot],Mon Jun 21 01:10:05 2021,"docs: clarify use of ELECTRON_SKIP_BINARY_DOWNLOAD (#29745)",   1, 12, 8 
0d72f4ee4,trop[bot],Mon Jun 21 01:09:32 2021,"fix: select element not working on Windows (#29771)",   1, 10, 4 
3ecf4ea80,mlaurencin,Fri Jun 18 23:23:44 2021,"add button text color parameter",   5, 19, 17 
5ba375f92,Jeremy Rose,Fri Jun 18 23:12:56 2021,"add debugging info to gpuinfo spec",   1, 8, 2 
0248dc82b,Jeremy Rose,Fri Jun 18 23:09:49 2021,"&#32;",   1, 7, 7 
c1111762f,PatchUp,Fri Jun 18 22:03:24 2021,"chore: update patches",   1, 9, 12 
89cd1fcc1,PatchUp,Fri Jun 18 22:02:13 2021,"chore: update patches",   1, 9, 12 
b009506d1,Jeremy Rose,Fri Jun 18 21:57:22 2021,"iwyu error on windows",   1, 1 
b46b75f4e,Pedro Pontes,Fri Jun 18 21:51:37 2021,"chore: cherry-pick 3d4f87ab5b9b from angle",   2, 63 
9580b9a32,Pedro Pontes,Fri Jun 18 21:51:09 2021,"chore: cherry-pick 3d4f87ab5b9b from angle",   2, 63 
cef4e434c,dependabot[bot],Fri Jun 18 21:20:29 2021,"build(deps-dev): bump ws from 7.2.1 to 7.4.6 in /spec-main (#29421)",   2, 5, 5 
80aa0d1df,Jeremy Rose,Fri Jun 18 20:48:04 2021,"add cloud_print_utility_mojom to chromium_src deps",   1, 4 
da652f82f,Jeremy Rose,Fri Jun 18 20:45:07 2021,"fix wasm test",   1, 2, 2 
ece346708,Jeremy Rose,Fri Jun 18 20:23:52 2021,"more #ifdefs for IsAXTextMarkerRange",   1, 17, 5 
6b8a1d2a2,PatchUp,Fri Jun 18 20:12:15 2021,"chore: update patches",   1, 18, 16 
fcf9bdc1c,PatchUp,Fri Jun 18 20:10:17 2021,"chore: update patches",   1, 16, 14 
3378b3f46,Pedro Pontes,Fri Jun 18 20:00:37 2021,"chore: cherry-pick 9da8fb7c4b80 from v8",   2, 136 
7bdf0ce6b,Pedro Pontes,Fri Jun 18 19:58:46 2021,"chore: cherry-pick d0aadee1a60a from v8",   2, 136 
0932e5258,Jeremy Rose,Fri Jun 18 18:57:41 2021,"docs: fix broken markdown in dialog.md",   1, 7, 7 
58c58c46c,John Kleinschmidt,Fri Jun 18 18:35:44 2021,"ci: cleanup electron dirs after running tests on arm (#29769)",   1, 4, 1 
d5ab8b09c,Jeremy Rose,Fri Jun 18 18:35:15 2021,"fix patch",   1, 3, 4 
166666450,John Kleinschmidt,Fri Jun 18 18:27:14 2021,"ci: run linux arm tests on CircleCI (#29765)",   4, 142, 32 
525a20e26,Jeremy Rose,Fri Jun 18 18:06:31 2021,"Merge branch 'main' into roller/chromium/main", 
301108ece,George Xu,Fri Jun 18 18:02:42 2021,"docs: Add clarification for Visual Zoom behavior (#28860) (#29764)",   1, 5 
259e8f96d,Jeremy Rose,Fri Jun 18 17:21:54 2021,"check for web_preferences != null",   1, 8, 5 
05005d3fd,John Kleinschmidt,Fri Jun 18 16:56:57 2021,"actually call cleanup step",   1, 3, 1 
e5aa13e2a,Electron Bot,Fri Jun 18 13:01:54 2021,"Bump v15.0.0-nightly.20210618",   3, 4, 4 
e1e1e37a6,electron-roller[bot],Fri Jun 18 13:00:50 2021,"chore: bump chromium in DEPS to 91.0.4472.114",   1, 1, 1 
5d36cdf48,Keeley Hammond,Fri Jun 18 09:34:03 2021,"fix: color select eyedropper not working within DevTools (#29729) (#29760)",   5, 37, 1 
4450327fd,Shelley Vohr,Fri Jun 18 07:05:18 2021,"fix: select element not working on Windows (#29742)",   1, 10, 4 
de6696ef1,Milan Burda,Fri Jun 18 04:26:18 2021,"chore: remove unused and broken ipcRendererInternal.sendTo() (#29743)",   10, 12, 25 
47721b9af,John Kleinschmidt,Fri Jun 18 02:01:06 2021,"use start-stop-daemon to kill Xvfb",   1, 2, 1 
af25c2880,John Kleinschmidt,Fri Jun 18 02:01:06 2021,"use start-stop-daemon to kill Xvfb",   1, 2, 1 
e194c1841,John Kleinschmidt,Fri Jun 18 00:49:58 2021,"cleanup electron dirs after testing",   1, 2 
1c0a6045f,John Kleinschmidt,Fri Jun 18 00:49:58 2021,"cleanup electron dirs after testing",   1, 2 
ae7d11873,John Kleinschmidt,Thu Jun 17 22:47:35 2021,"ci: run linux arm tests on CircleCI",   2, 75, 26 
c0d93a177,John Kleinschmidt,Thu Jun 17 22:47:35 2021,"ci: run linux arm tests on CircleCI",   2, 52, 30 
399f2af43,VerteDinde,Thu Jun 17 22:52:50 2021,"wip: debug resource bundle failure",   4, 130, 1 
6b4c59b8d,John Kleinschmidt,Thu Jun 17 22:38:25 2021,"ci: run linux arm tests on CircleCI (#29714)",   4, 138, 30 
8ccab4ce9,Charles Kerr,Thu Jun 17 21:17:25 2021,"feat: bring --enable-logging functionality in line with Chromium (#25089)",   18, 553, 54 
c94ab729d,George Xu,Thu Jun 17 21:03:07 2021,"docs: added guide and updated docs for Tray (#29385) (#29762)",   4, 98, 188 
7b1bbb168,Jeremy Rose,Thu Jun 17 20:24:42 2021,"lint",   1, 1, 2 
1b58b5b1f,John Kleinschmidt,Thu Jun 17 20:19:46 2021,"only enable WCO when titleBarStyle is overlay",   5, 21, 18 
ba733a197,Jeremy Rose,Thu Jun 17 20:10:33 2021,"update patches",   3, 9, 17 
0bc5123f2,Jeremy Rose,Thu Jun 17 20:07:40 2021,"fix a bunch of iwyu errors",   4, 4 
7f4725dae,Jeremy Rose,Thu Jun 17 20:07:23 2021,"2953763: Migrate Cloud Print utility messages to Mojo",   2, 14 
790efa5c4,Jeremy Rose,Thu Jun 17 20:07:06 2021,"2949671: Remove GetMainRenderFrame from RenderView.",   1, 1, 2 
d7fb6914f,Jeremy Rose,Thu Jun 17 20:06:41 2021,"2957346: Rename GetWebKitRevision to GetChromiumGitRevision.",   1, 1, 1 
e390fdf05,Jeremy Rose,Thu Jun 17 20:06:21 2021,"2930796: Add the Dawn info to about:gpu",   1, 1, 1 
c9f5e3a9d,Jeremy Rose,Thu Jun 17 20:05:03 2021,"2695928: Move blink::WebView::SetBaseBackgroundColor to content",   4, 13, 35 
f1ffefd27,Jeremy Rose,Thu Jun 17 18:04:46 2021,"fix packed_resources_integrity patch",   1, 19, 1 
907407fa0,mlaurencin,Thu Jun 17 17:39:19 2021,"add button background color parameter",   5, 20, 2 
e42699454,Jeremy Rose,Thu Jun 17 17:20:16 2021,"fix DEPS",   1, 3 
719bf0d8f,Charles Kerr,Fri Jun 11 18:08:57 2021,"Revert "remove AdaptCallbackForRepeating calls in Emit()"",   4, 9, 7 
d555a3f4b,Charles Kerr,Fri Jun 11 16:41:05 2021,"remove AdaptCallbackForRepeating calls in Emit()",   4, 7, 9 
ab3a8f799,Charles Kerr,Fri Jun 11 15:55:39 2021,"chore: update patch indices",   18, 58, 58 
576d43119,Charles Kerr,Fri Jun 11 15:44:35 2021,"chore: fix code shear in osr_render_widget_host_view",   2, 5, 5 
e69b021f2,Charles Kerr,Fri Jun 11 15:34:23 2021,"chore: fix code shear in ElectronBrowserClient",   2, 2, 2 
4094c749a,Charles Kerr,Fri Jun 11 14:33:50 2021,"fix: Revert "chore: fix code shear in build_do_not_depend_on_packed_resource_integrity.patch"",   1, 11, 30 
3a378923a,electron-roller[bot],Fri Jun 11 13:00:21 2021,"chore: bump chromium in DEPS to 93.0.4539.0",   1, 1, 1 
d91c01003,Charles Kerr,Thu Jun 10 22:43:30 2021,"Revert "refactor: remove deprecated AdaptCallbackForRepeating from App::AllowCertificateError()"",   1, 6, 7 
5f81d0e7c,Charles Kerr,Thu Jun 10 17:53:49 2021,"fixup! build: sync with upstream: BUILD.gn blink deps",   1, 1, 1 
110e26fad,Charles Kerr,Thu Jun 10 17:34:11 2021,"build: sync with upstream: include paths for blink",   1, 1, 1 
